nombre,correo,ciclo,carrera,codigo
Wesley Stokes,wesleystokes9250@utec.edu,1,Ingenieria de la energia,202121055
Valentine Hull,valentinehull@utec.edu,3,Ingenieria mecatronica,202338120
Knox Randall,knoxrandall1432@utec.edu,4,Ingenieria de la energia,202324134
Oleg Humphrey,oleghumphrey@utec.edu,8,Ingenieria industrial,202390269
Jameson Huff,jamesonhuff3756@utec.edu,5,Ingenieria electronica,202142479
Ahmed Coleman,ahmedcoleman@utec.edu,3,Ingenieria de la energia,202164059
Kennedy Thompson,kennedythompson@utec.edu,8,DS,202230154
Branden Kirby,brandenkirby2562@utec.edu,5,Ingenieria quimica,202267938
Juliet Boone,julietboone1054@utec.edu,4,DS,202157478
Eugenia Preston,eugeniapreston2712@utec.edu,3,Ingenieria quimica,202340699
Emery Lawrence,emerylawrence@utec.edu,4,Ingenieria civil,202200031
Gay Wheeler,gaywheeler4807@utec.edu,6,Ingenieria industrial,202357149
Kiayada Nunez,kiayadanunez9371@utec.edu,7,Ingenieria de la energia,202323767
Simon Emerson,simonemerson@utec.edu,6,Ingenieria mecatronica,202101635
Grady Mccullough,gradymccullough6848@utec.edu,1,Administracion de negocios,202382201
Blake Barnett,blakebarnett@utec.edu,2,Administracion de negocios,202273226
Basia Faulkner,basiafaulkner@utec.edu,7,Ingenieria de la energia,202190366
Eaton Ingram,eatoningram@utec.edu,7,Ingenieria ambiental,202225145
Raphael Nieves,raphaelnieves6430@utec.edu,7,Ingenieria quimica,202184583
Keiko Mccormick,keikomccormick6445@utec.edu,4,Ingenieria civil,202162076
Otto Francis,ottofrancis@utec.edu,7,Ingenieria electronica,202158996
Ralph Wilkinson,ralphwilkinson5031@utec.edu,10,Ingenieria electronica,202100975
Reece Underwood,reeceunderwood6212@utec.edu,5,Ingenieria quimica,202175794
August David,augustdavid6869@utec.edu,9,Ingenieria de la energia,202302576
Kaseem Vasquez,kaseemvasquez@utec.edu,4,Ingenieria mecanica,202285341
Whilemina Tucker,whileminatucker@utec.edu,1,Ingenieria de la energia,202367521
Dana Lang,danalang@utec.edu,7,Ingenieria quimica,202134728
Erin Watkins,erinwatkins1382@utec.edu,7,CS,202191433
Jael Rowland,jaelrowland@utec.edu,3,Ingenieria civil,202316098
Jerry Hutchinson,jerryhutchinson9538@utec.edu,3,Administracion de negocios,202395894
Edward Fisher,edwardfisher6845@utec.edu,10,Ingenieria ambiental,202140450
Murphy O'connor,murphyoconnor@utec.edu,8,Ingenieria quimica,202155411
Alice Mcfarland,alicemcfarland4119@utec.edu,7,Ingenieria electronica,202209958
Kasper Barron,kasperbarron@utec.edu,6,Administracion de negocios,202283671
Rafael Bray,rafaelbray6714@utec.edu,3,Ingenieria ambiental,202397935
Drake Wagner,drakewagner992@utec.edu,5,Ingenieria de la energia,202237696
Evelyn Dejesus,evelyndejesus9845@utec.edu,2,Ingenieria ambiental,202182789
Olivia White,oliviawhite@utec.edu,6,Ingenieria ambiental,202290386
Zephr Berry,zephrberry9973@utec.edu,6,Ingenieria mecatronica,202151746
Grady Wong,gradywong9683@utec.edu,3,Ingenieria electronica,202108382
Mira Jenkins,mirajenkins672@utec.edu,1,CS,202357927
Ori Pittman,oripittman2284@utec.edu,5,Ingenieria quimica,202154759
Fallon Meadows,fallonmeadows8840@utec.edu,5,Ingenieria mecanica,202194008
Dean Harding,deanharding@utec.edu,8,Bioingenieria,202346578
Naida Williams,naidawilliams@utec.edu,10,CS,202368902
Sara Marshall,saramarshall3318@utec.edu,9,Ingenieria civil,202366812
Colin Johnston,colinjohnston497@utec.edu,6,Ingenieria electronica,202280649
Nehru Levy,nehrulevy@utec.edu,6,Bioingenieria,202267512
Veda Joyce,vedajoyce@utec.edu,3,Ingenieria de la energia,202203240
Tamekah Howell,tamekahhowell@utec.edu,2,Ingenieria mecanica,202381418
Nadine Hines,nadinehines9214@utec.edu,3,Ingenieria industrial,202181135
Quin Gilbert,quingilbert6323@utec.edu,5,Ingenieria ambiental,202288845
Addison Franklin,addisonfranklin1740@utec.edu,3,Ingenieria mecanica,202368063
Emily Holcomb,emilyholcomb@utec.edu,1,Ingenieria civil,202176293
Jenette Lambert,jenettelambert570@utec.edu,6,Ingenieria mecanica,202102968
Jin Mitchell,jinmitchell2104@utec.edu,10,Ingenieria mecanica,202294919
Medge Riley,medgeriley@utec.edu,8,Ingenieria mecatronica,202163042
Stephen Calderon,stephencalderon@utec.edu,9,Ingenieria industrial,202155527
Rose Kemp,rosekemp1729@utec.edu,9,Ingenieria mecanica,202211469
Denton Cervantes,dentoncervantes1355@utec.edu,8,Ingenieria mecatronica,202370091
Darrel Mercado,darrelmercado@utec.edu,6,Ingenieria electronica,202158479
Cade Cantrell,cadecantrell@utec.edu,1,Ingenieria mecanica,202229721
Ivor Mcintyre,ivormcintyre7253@utec.edu,7,DS,202308371
Yvette Whitley,yvettewhitley5968@utec.edu,7,Ingenieria ambiental,202122167
Hu Clayton,huclayton516@utec.edu,3,Ingenieria mecanica,202208204
Giselle Tanner,giselletanner@utec.edu,9,DS,202221299
Lucian Wong,lucianwong5320@utec.edu,6,CS,202298505
Hilel Meyer,hilelmeyer@utec.edu,2,Ingenieria electronica,202150652
Rhea Howard,rheahoward7490@utec.edu,1,Ingenieria electronica,202141314
Allistair Travis,allistairtravis@utec.edu,10,Ingenieria mecatronica,202338685
Camden Trevino,camdentrevino4606@utec.edu,9,Ingenieria ambiental,202358597
Carissa Cobb,carissacobb4943@utec.edu,3,Ingenieria mecatronica,202175657
Leo Perry,leoperry@utec.edu,2,Bioingenieria,202349135
Steven Combs,stevencombs@utec.edu,8,DS,202193341
Quentin Adams,quentinadams2956@utec.edu,7,Bioingenieria,202290254
Gisela Moody,giselamoody7021@utec.edu,8,Ingenieria de la energia,202346542
Raven Espinoza,ravenespinoza@utec.edu,7,Ingenieria industrial,202174551
Maite Raymond,maiteraymond@utec.edu,4,Ingenieria industrial,202158566
Benedict Nieves,benedictnieves7151@utec.edu,8,Bioingenieria,202323709
Carissa Roth,carissaroth1141@utec.edu,2,Ingenieria mecanica,202294511
Brett Carr,brettcarr1124@utec.edu,1,Ingenieria civil,202329540
Carl Wright,carlwright5696@utec.edu,7,Ingenieria industrial,202220841
Leila Alford,leilaalford7281@utec.edu,7,Bioingenieria,202180939
Briar Key,briarkey@utec.edu,5,Ingenieria mecatronica,202350674
Gwendolyn Spence,gwendolynspence633@utec.edu,6,CS,202103145
Kuame Conway,kuameconway@utec.edu,10,Ingenieria industrial,202240889
Mari Carroll,maricarroll5555@utec.edu,7,Ingenieria mecanica,202155625
Eagan Rosa,eaganrosa@utec.edu,6,CS,202373910
Thor Douglas,thordouglas@utec.edu,5,Ingenieria civil,202344889
Kaitlin Bridges,kaitlinbridges3616@utec.edu,3,Ingenieria industrial,202306503
Micah Stanley,micahstanley3596@utec.edu,5,Ingenieria civil,202164172
Vincent Moody,vincentmoody1812@utec.edu,3,DS,202111806
Clementine Buck,clementinebuck@utec.edu,8,Bioingenieria,202211366
Shay Mccarty,shaymccarty@utec.edu,8,Ingenieria de la energia,202276643
Zephania Nolan,zephanianolan6702@utec.edu,2,Ingenieria mecatronica,202153169
Cooper Leblanc,cooperleblanc@utec.edu,6,Ingenieria quimica,202236532
Baxter Sharpe,baxtersharpe6964@utec.edu,3,Ingenieria de la energia,202365794
Ira Duncan,iraduncan1329@utec.edu,2,DS,202168275
Jorden Wise,jordenwise@utec.edu,7,Ingenieria de la energia,202139112
Knox Conway,knoxconway@utec.edu,3,Ingenieria civil,202174103
Germane Cervantes,germanecervantes@utec.edu,3,Ingenieria de la energia,202277091
Regan Riddle,reganriddle9187@utec.edu,3,DS,202354421
Merritt Lott,merrittlott7420@utec.edu,6,Ingenieria de la energia,202329604
Barrett Bishop,barrettbishop4675@utec.edu,5,DS,202321172
Herrod Gonzalez,herrodgonzalez9490@utec.edu,1,CS,202150941
Alea Mcbride,aleamcbride@utec.edu,6,DS,202156540
Shelby Jackson,shelbyjackson5293@utec.edu,2,Ingenieria electronica,202267754
Hollee Powell,holleepowell@utec.edu,2,Ingenieria mecanica,202268134
Madaline Lindsay,madalinelindsay6473@utec.edu,6,Ingenieria mecanica,202265433
Hayley Crane,hayleycrane467@utec.edu,8,Ingenieria de la energia,202222334
Hadassah Hampton,hadassahhampton@utec.edu,6,Ingenieria quimica,202231009
Derek White,derekwhite@utec.edu,8,Ingenieria de la energia,202290710
James Mullen,jamesmullen@utec.edu,2,DS,202370968
Iola Sellers,iolasellers@utec.edu,3,Bioingenieria,202229632
Dillon Hubbard,dillonhubbard7605@utec.edu,7,Administracion de negocios,202351028
Zahir Castillo,zahircastillo954@utec.edu,9,Ingenieria electronica,202161544
Chase Barrett,chasebarrett1782@utec.edu,4,Ingenieria de la energia,202260469
Hakeem Tran,hakeemtran@utec.edu,6,Ingenieria mecatronica,202287381
Kirsten Nicholson,kirstennicholson8260@utec.edu,9,Ingenieria mecatronica,202240853
Wesley Murray,wesleymurray8401@utec.edu,4,DS,202124385
Ciara Adkins,ciaraadkins@utec.edu,2,Ingenieria de la energia,202178423
Hop Coleman,hopcoleman828@utec.edu,8,DS,202323674
Cruz Richardson,cruzrichardson8810@utec.edu,3,Ingenieria civil,202270459
Kylan Tate,kylantate8340@utec.edu,9,DS,202259311
